project_id,n_tasks,det_duration_days,p50,p90,schedule_risk_ratio,det_vs_p50_delta
98cdeefe-ba73-4c5f-bd97-87e4c043636c,18,6,6,7,0.16666666666666666,0
8828b959-9c7d-4bc5-b77d-408c1cf90702,20,5,5,7,0.4,0
1b3a449b-f9ea-4b01-9bee-61d61c84325c,41,6,6,8,0.3333333333333333,0
2afca43c-2315-44f7-bf57-f37773795f6c,17,39,43,52,0.20930232558139536,4
df54b112-a0ad-4d0c-9c25-26da40641690,40,55,55,76,0.38181818181818183,0
258b0664-bd3e-432c-bdd9-e9ed9c5cab30,27,9,10,12,0.2,1
760e1eb4-33e9-4183-9090-e12ec3b5f04a,9,17,17,23,0.35294117647058826,0
a56ba9c1-f2a1-4700-80df-bf964cc64ee6,4,2,2,3,0.5,0
359c9397-3dbe-40ae-bad5-85fda7b171fc,11,9,10,12,0.2,1
b5148ec9-d16f-4a62-a2c4-cc21963f693f,40,17,18,23,0.2777777777777778,1
859749e3-f267-459b-9587-33fbac2fdd66,8,11,11,15,0.36363636363636365,0
79d969f3-d731-4614-8e77-17f4218a58a2,12,13,14,17,0.21428571428571427,1
b64e275d-8b01-4549-bcde-c21f98ee5214,5,3,3,5,0.6666666666666666,0
a90dbf3c-6ccf-4cee-9e7e-aff965f0a4e5,6,16,15,20,0.3333333333333333,-1
1a9b12b2-1ce8-4443-9920-098e95ef1f9e,6,22,22,29,0.3181818181818182,0
cf706af2-3ef2-4866-91c2-5bde25dc7c17,14,31,31,40,0.2903225806451613,0
069c1eaa-198e-4c6e-ab80-e7d4fc191e2a,9,10,12,14,0.16666666666666666,2
ea3c16fe-2ef5-4f8e-8a21-f19526c10af0,71,5,5,7,0.4,0
3928e6a9-d780-46f1-813e-f232232a2719,7,11,11,15,0.36363636363636365,0
23bf7f46-3053-4333-9fda-06440828d480,8,4,4,5,0.25,0
216a61c7-bd49-4577-a7c3-e3f5173becb2,18,44,43,56,0.3023255813953488,-1
281f1612-0f88-4b58-9f60-1a27b4e04d26,11,42,41,55,0.34146341463414637,-1
fb13656b-d17e-4506-9341-daa2ce868b5b,9,82,80,105,0.3125,-2
33dc62cc-55c9-49a8-9b69-6a0e7eda12c8,66,5,5,7,0.4,0
056885c1-232e-4831-a243-d15718c312fa,10,8,8,10,0.25,0
76363769-508f-4c26-8aff-5fa6fad4b186,4,15,15,20,0.3333333333333333,0
c7636c52-eb30-4396-9501-9866ca2f4a34,58,16,16,21,0.3125,0
044014b9-03c2-42b0-8253-873fffb52d95,11,35,35,45,0.2857142857142857,0
15b9db70-b593-4b70-9c66-d6ab269ed75c,12,2,2,3,0.5,0
633aa4e0-db64-405e-a774-be5fca29652b,28,20,20,27,0.35,0
8dd5048e-5810-4718-b233-3b26e66f4497,21,31,31,40,0.2903225806451613,0
1762ba0d-ab37-4763-9112-bcf1ba3b3291,20,11,11,14,0.2727272727272727,0
83575f5b-4f11-49df-8cc3-5748281a64cc,9,49,49,69,0.40816326530612246,0
fb044865-003a-40c9-9b74-23d8693de848,23,126,139,169,0.2158273381294964,13
7c264726-1626-4a89-bbef-59263e057ad4,9,3,3,4,0.3333333333333333,0
afe1fbb5-034e-4f78-b868-cefc6ea6908a,9,4,4,5,0.25,0
a89d9af7-250a-42c0-9575-22af9c4b914e,4,7,7,9,0.2857142857142857,0
f0da7cde-8b01-4f1b-9fa9-5151c09321cb,22,59,59,78,0.3220338983050847,0
5d97cb23-2f21-4eb3-bbe7-83de3e3a3f61,6,105,107,133,0.24299065420560748,2
9eab7969-20b2-415b-86a6-88cb34c06357,8,39,38,49,0.2894736842105263,-1
3a3d1be8-0dcd-4bfe-92ef-9a935a558eed,17,25,24,32,0.3333333333333333,-1
b2b6a309-b391-48e2-b20a-58a51d7c37c1,13,6,7,8,0.14285714285714285,1
e9314f52-02c6-4310-906a-027587345b27,4,13,13,17,0.3076923076923077,0
91c2b526-afea-4dc9-92d3-4769e11e950a,15,30,30,38,0.26666666666666666,0
7ec3d60f-cee2-4e9a-a34f-c041d62a1f1d,28,102,101,131,0.297029702970297,-1
b5fd850b-7642-44ce-837a-2cc3e3c879f1,48,105,108,141,0.3055555555555556,3
bc7b8bcc-6b44-4757-9583-2a1a5946816e,17,12,12,16,0.3333333333333333,0
86239994-60bd-4452-be0b-9bc31144c4bf,9,17,18,23,0.2777777777777778,1
76bc0fed-9e8b-4bd7-a9cc-4975938ab2a2,5,56,57,74,0.2982456140350877,1
321bceb0-aac9-4b6c-b442-0ce9883bc6a1,27,38,39,52,0.3333333333333333,1
5c0c5d06-a515-4580-b7b5-316a2423b858,30,109,113,146,0.2920353982300885,4
7d017231-20a7-4c11-8898-561f7fe6ba3b,9,24,23,30,0.30434782608695654,-1
79995916-b4dd-4446-a7b4-326b5aafb840,30,18,18,24,0.3333333333333333,0
3b9b6fbf-d6bf-4f9f-9ffa-1b94912a90ac,16,164,161,209,0.2981366459627329,-3
