project_id,n_tasks,n_employees,n_dependencies,det_duration_days,p10,p50,p90,schedule_risk_ratio,det_vs_p50_delta,critical_path_tasks,avg_employee_efficiency,mc_success,error_msg
98cdeefe-ba73-4c5f-bd97-87e4c043636c,18,3,6,10,9,11,13,0.1818,1,2,1.1384,True,
8828b959-9c7d-4bc5-b77d-408c1cf90702,20,2,14,9,9,10,11,0.1,1,2,1.1939,True,
1b3a449b-f9ea-4b01-9bee-61d61c84325c,41,3,10,20,16,20,25,0.25,0,1,1.2332,True,
2afca43c-2315-44f7-bf57-f37773795f6c,17,5,13,74,71,81,91,0.1235,7,2,1.352,True,
4de8c52e-b0ab-472a-a932-f69b44d9cdb3,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
df54b112-a0ad-4d0c-9c25-26da40641690,40,5,35,71,64,75,87,0.16,4,2,1.8136,True,
258b0664-bd3e-432c-bdd9-e9ed9c5cab30,27,3,24,14,13,15,16,0.0667,1,2,1.7236,True,
d184c342-15d2-417f-915f-386fcc239c67,8,8,4,26,24,28,32,0.1429,2,2,0.9683,True,
760e1eb4-33e9-4183-9090-e12ec3b5f04a,9,3,6,28,26,30,34,0.1333,2,2,1.9513,True,
41d71e06-11ab-4f85-b0b2-74d16593660d,8,4,4,19,17,20,23,0.15,1,2,1.7652,True,
a56ba9c1-f2a1-4700-80df-bf964cc64ee6,4,3,3,4,4,5,5,0.0,1,2,1.6869,True,
359c9397-3dbe-40ae-bad5-85fda7b171fc,11,5,9,17,16,18,20,0.1111,1,2,1.8122,True,
093d60f8-a9e8-4da8-89df-49f98fb98177,8,5,3,31,27,31,36,0.1613,0,2,1.8122,True,
b5148ec9-d16f-4a62-a2c4-cc21963f693f,40,5,11,48,40,49,60,0.2245,1,1,1.0799,True,
859749e3-f267-459b-9587-33fbac2fdd66,8,3,3,21,19,22,25,0.1364,1,2,1.6869,True,
79d969f3-d731-4614-8e77-17f4218a58a2,12,6,7,25,23,27,30,0.1111,2,2,1.8435,True,
b64e275d-8b01-4549-bcde-c21f98ee5214,5,3,4,7,6,7,8,0.1429,0,2,1.6869,True,
a90dbf3c-6ccf-4cee-9e7e-aff965f0a4e5,6,6,3,29,25,29,34,0.1724,0,2,1.8435,True,
cd863014-c075-4ad3-b552-320f2c8af6f3,3,4,2,20,17,21,24,0.1429,1,2,1.4413,True,
1a9b12b2-1ce8-4443-9920-098e95ef1f9e,6,7,4,44,39,46,53,0.1522,2,2,1.8658,True,
c3aea7b6-b067-4d6a-861a-1d55a2afd4ec,3,7,2,109,96,111,131,0.1802,2,2,1.6807,True,
20ed89dc-0875-423e-b1ac-648ebda788fd,3,3,2,51,45,52,62,0.1923,1,2,1.6869,True,
296acd0e-d021-4528-a002-ee933409e3f4,2,2,1,3,3,3,4,0.3333,0,2,1.0,True,
cf706af2-3ef2-4866-91c2-5bde25dc7c17,14,7,5,59,52,60,70,0.1667,1,2,1.8658,True,
069c1eaa-198e-4c6e-ab80-e7d4fc191e2a,9,5,6,20,19,22,24,0.0909,2,4,1.8122,True,
84330393-99e3-4388-939a-1c1e4950603d,3,3,0,125,104,127,156,0.2283,2,1,1.6869,True,
16b239e1-67b2-4378-a994-cb571db6d7f2,7,2,4,34,32,37,42,0.1351,3,4,1.5304,True,
9822732e-32ae-43a6-acab-fdacaa5b0aa6,7,2,2,1,1,1,1,0.0,0,4,1.5,True,
ea3c16fe-2ef5-4f8e-8a21-f19526c10af0,71,10,22,16,13,17,21,0.2353,1,1,1.1956,True,
3a3039ba-5803-4ab8-87f3-4421654bdd60,4,2,2,2,2,2,2,0.0,0,2,1.0,True,
3928e6a9-d780-46f1-813e-f232232a2719,7,3,5,21,19,22,26,0.1818,1,2,1.1071,True,
56894691-ed33-4282-ae20-1c1450bc6e74,14,11,12,476,435,497,571,0.1489,21,2,1.0662,True,
23bf7f46-3053-4333-9fda-06440828d480,8,2,5,8,7,8,10,0.25,0,2,1.6214,True,
b6fc0748-3f89-4b09-912a-4bda3922ab4a,2,1,1,20,17,20,24,0.2,0,2,1.0,True,
df8d2242-199e-4a0f-b056-ac9fb7b230e8,2,1,1,19,17,20,23,0.15,1,2,1.0608,True,
4c97fc8a-5e50-408a-bc1e-996c929f317f,3,2,2,2,2,2,3,0.5,0,3,2.0,True,
216a61c7-bd49-4577-a7c3-e3f5173becb2,18,13,11,94,82,97,113,0.1649,3,2,1.3191,True,
2e1754f8-44ce-424b-b79a-f0e4d7220cd2,2,2,1,6,5,6,7,0.1667,0,2,1.6803,True,
e66c5a62-17a8-4067-90e2-19d3912bb25a,2,1,1,6,5,7,8,0.1429,1,2,1.0,True,
281f1612-0f88-4b58-9f60-1a27b4e04d26,11,10,9,78,69,80,92,0.15,2,2,1.9809,True,
2dfbebf4-f00f-4be3-965f-5cd8549be602,6,1,5,34,30,34,40,0.1765,0,2,2.0,True,
58f933c1-c589-4b8d-919a-9a7a80a52246,6,1,5,26,23,27,31,0.1481,1,2,2.0,True,
fb13656b-d17e-4506-9341-daa2ce868b5b,9,4,8,148,131,151,177,0.1722,3,2,1.9563,True,
33dc62cc-55c9-49a8-9b69-6a0e7eda12c8,66,5,41,11,10,12,13,0.0833,1,2,0.9373,True,
793128a0-8afc-4d6c-a2c3-d037dda3fab2,3,1,0,43,36,44,54,0.2273,1,1,2.0,True,
056885c1-232e-4831-a243-d15718c312fa,10,1,8,15,13,15,18,0.2,0,2,1.088,True,
b2b3e949-5017-4ffc-8129-531088870f16,21,1,17,1,1,1,1,0.0,0,2,0.7879,True,
76363769-508f-4c26-8aff-5fa6fad4b186,4,4,3,29,26,30,35,0.1667,1,2,2.0,True,
c7636c52-eb30-4396-9501-9866ca2f4a34,58,4,22,29,26,30,35,0.1667,1,2,1.0998,True,
044014b9-03c2-42b0-8253-873fffb52d95,11,10,5,66,59,68,79,0.1618,2,2,1.3803,True,
15b9db70-b593-4b70-9c66-d6ab269ed75c,12,5,9,5,4,5,6,0.2,0,2,1.8122,True,
633aa4e0-db64-405e-a774-be5fca29652b,28,4,13,28,25,29,34,0.1724,1,2,1.0998,True,
8dd5048e-5810-4718-b233-3b26e66f4497,21,6,13,67,58,68,81,0.1912,1,2,1.6034,True,
1762ba0d-ab37-4763-9112-bcf1ba3b3291,20,4,15,20,18,21,24,0.1429,1,2,1.7272,True,
83575f5b-4f11-49df-8cc3-5748281a64cc,9,3,5,157,129,160,199,0.2437,3,1,2.0,True,
fb044865-003a-40c9-9b74-23d8693de848,23,15,14,267,246,283,324,0.1449,16,2,1.3104,True,
0df7e36b-82c5-4b48-b406-3d9f6dad83bc,6,4,2,15,13,16,19,0.1875,1,1,1.9858,True,
7c264726-1626-4a89-bbef-59263e057ad4,9,2,5,6,5,6,8,0.3333,0,2,2.0,True,
1757860c-6c12-4f62-95c6-00c2fca33f98,14,4,4,18,18,21,24,0.1429,3,2,1.6375,True,
afe1fbb5-034e-4f78-b868-cefc6ea6908a,9,6,6,8,7,8,9,0.125,0,2,1.7701,True,
a89d9af7-250a-42c0-9575-22af9c4b914e,4,4,3,13,12,14,16,0.1429,1,2,2.0,True,
