project_id,n_tasks,n_employees,n_dependencies,det_duration_days,p10,p50,p90,schedule_risk_ratio,det_vs_p50_delta,critical_path_tasks,avg_employee_efficiency,mc_success,error_msg
98cdeefe-ba73-4c5f-bd97-87e4c043636c,18,3,6,10,9,11,13,0.1818,1,2,1.1221,True,
8828b959-9c7d-4bc5-b77d-408c1cf90702,20,2,14,9,9,10,11,0.1,1,2,1.1747,True,
1b3a449b-f9ea-4b01-9bee-61d61c84325c,41,3,10,20,16,20,25,0.25,0,1,1.0924,True,
2afca43c-2315-44f7-bf57-f37773795f6c,17,5,13,74,71,81,91,0.1235,7,2,1.1957,True,
4de8c52e-b0ab-472a-a932-f69b44d9cdb3,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
df54b112-a0ad-4d0c-9c25-26da40641690,40,5,35,71,64,75,87,0.16,4,2,1.6881,True,
258b0664-bd3e-432c-bdd9-e9ed9c5cab30,27,3,24,14,13,15,16,0.0667,1,2,0.9898,True,
760e1eb4-33e9-4183-9090-e12ec3b5f04a,9,3,6,28,26,30,34,0.1333,2,2,1.452,True,
a56ba9c1-f2a1-4700-80df-bf964cc64ee6,4,3,3,4,4,5,5,0.0,1,2,1.6779,True,
359c9397-3dbe-40ae-bad5-85fda7b171fc,11,5,9,17,16,18,20,0.1111,1,2,1.758,True,
b5148ec9-d16f-4a62-a2c4-cc21963f693f,40,5,11,48,40,48,60,0.25,0,1,1.0701,True,
859749e3-f267-459b-9587-33fbac2fdd66,8,3,3,21,19,22,25,0.1364,1,2,1.6206,True,
79d969f3-d731-4614-8e77-17f4218a58a2,12,6,7,25,23,26,30,0.1538,1,2,1.7697,True,
b64e275d-8b01-4549-bcde-c21f98ee5214,5,3,4,7,6,7,8,0.1429,0,2,1.5967,True,
a90dbf3c-6ccf-4cee-9e7e-aff965f0a4e5,6,6,3,29,25,30,35,0.1667,1,2,1.8103,True,
1a9b12b2-1ce8-4443-9920-098e95ef1f9e,6,7,4,44,39,46,53,0.1522,2,2,1.8026,True,
20ed89dc-0875-423e-b1ac-648ebda788fd,3,3,2,51,45,53,61,0.1509,2,2,1.6206,True,
296acd0e-d021-4528-a002-ee933409e3f4,2,2,1,3,3,3,4,0.3333,0,2,1.0,True,
